course,question,optionA,optionB,optionC,optionD,correctAnswer,,,,,,,,,,,,,,,,
CHE102,What is the name of this compound?,2,5-heptanedione,2,5-heptadione,3,6-heptadione,3,6-heptanedione,A,,,,,,,,,,,,
CHE102,The correct name for this compound is,3-methyl-6-oxoheptanal,3-methyl-1,6-heptanedione,2-keto-5-methyl-heptanal,5-methyl-2,7-heptanedione,A,,,,,,,,,,,,,,
CHE102,What is responsible for the high boiling points of aldehydes and ketones?,Hydrogen bonding existing between the molecules,Intermolecular forces of attraction between molecules,Polar interaction between molecules,Dispersion forces between molecules,C,,,,,,,,,,,,,,,,
CHE102,The Markovnikov rule states that a hydrogen atom bonds to the carbon atom that already is bonded to ——— hydrogen atoms.,an equal number of,the greatest number of,the least number of,no,B,,,,,,,,,,,,,,,,
CHE102,Carbocations undergo rearrangement reactions,to give more stable carbocations,by hydride shifts,by methyl shifts,for all of the above reasons,D,,,,,,,,,,,,,,,,
CHE102,Alkenes undergo an acid-catalyzed addition of water to give,alkynes,alkanes,ethers,alcohols,D,,,,,,,,,,,,,,,,
CHE102,Borane reacts with alkenes,to give the anti-Markovnikov addition product,by a concerted mechanism,to give syn addition,all of the above,D,,,,,,,,,,,,,,,,
CHE102,Diols are synthesized by reacting an alkene with,water,borane,ozone,osmium tetroxide,D,,,,,,,,,,,,,,,,
CHE102,Ozone reacts with 2,3-dimethyl-2-butene to give,one ketone,two different ketones,one aldehyde,one ketone and one aldehyde,A,,,,,,,,,,,,,,,
CHE102,The rapid conversion between an enol and its keto form is called,resonance,cationic rearrangement,tautomerization,hydrogenation,C,,,,,,,,,,,,,,,,
CHE102,The solubility of some aldehydes and ketones in water is due to,Hydrogen bonding between the molecules of water and those of aldehydes or ketones,Polar interaction and hydrogen bonding between the molecules of water and those of aldehydes or ketones,The intermolecular forces between the molecules of water and those of aldehydes or ketones,Dispersion and Vander Waal forces between the molecules of water and those of aldehydes or ketones,B,,,,,,,,,,,,,,,,
CHE102,Aldehydes are said to be more reactive than ketones because,The carbonyl carbon in the former is more polar than that of the latter,The carbonyl carbon in the latter is more sterically hindered from nucleophilic attack than in the former,The carbonyl carbon in the former is a terminal one hence better contact with nucleophiles unlike in the latter where the carbonyl carbon is not easily available for attack,The tetrahedral structure of the former possesses higher potential energy than the latter,B,,,,,,,,,,,,,,,,
CHE102,Which of these has the most stable central carbon?,RCOR’,RCOH,RCH3,CH4,A,,,,,,,,,,,,,,,,
CHE102,The intermediate formed during the reaction of ozone with unsaturated compounds is called,Oxidizing agent,Ozonide,Trioxane,Peroxide,B,,,,,,,,,,,,,,,,
CHE102,Reaction of alkene with ozone in the presence of hydrogen peroxide will produce,Two acids,Ketone and acid,Two ketones,All of the above,D,,,,,,,,,,,,,,,,
CHE102,Ozonolysis is a very important reaction in chemistry because,It is not toxic,It can be used to characterize complex molecules,It takes place at room temperature,It is a means of reducing complex molecules,B,,,,,,,,,,,,,,,,
CHE102,Which of these is not a way of preparing aldehydes and ketones?,Hydration of alkynes,Reduction of acid chlorides,Acylation reaction,Amination reaction,D,,,,,,,,,,,,,,,,
CHE102,What is the product of this reaction?,Heptan-1,6-dioic acid,Cycloheptan-1,6-dioic acid,Ethanoic acid and pentane,Cycloheptanoic acid,A,,,,,,,,,,,,,,
CHE102,How many isomers will this compound have?,1,2,3,4,C,,,,,,,,,,,,,,,,
CHE102,Which of these has the highest boiling point?,Butane,Butanal,Butanol,Butanone,C,,,,,,,,,,,,,,,,
CHE102,What is the product you would get from the hydration of CH3C=CCH2CH3 using mercury salt?,CH3COCH2CH2CH3,CH3CH2COCH2CH3,CH3COCH2CH2CH3 and CH3CH2COCH2CH3,CH3CH2C(OH)CH2CH3,C,,,,,,,,,,,,,,,,
CHE102,Aromatic ketones are prepared by,Wittig reactions,Friedel-Craft acylation,Clemmensen reaction,Mercuration reaction,B,,,,,,,,,,,,,,,,
CHE102,Cyanohydrins can be hydrolysed in the presence of acid to produce,Compounds with both hydroxyl and carboxylic groups,Beta-Amino alcohols,Aldehydes,Ketones,A,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of water with ketones?,Acetal,Hydrate,Hemiacetal,Geraniol,B,,,,,,,,,,,,,,,,
CHE102,What is the final product of the reaction of alcohol with aldehyde called?,Hemiacetal,Acetal,Hydrate,Ketal,B,,,,,,,,,,,,,,,,
CHE102,The name of this compound is,Hex-1-en-6-yne,Hex-1-en-1-yne,Hept-1-en-6-yne,Hept-6-en-1-yne,C,,,,,,,,,,,,,,,,
CHE102,The name of this compound is,4-Ethyl-3,7-dimethyloctane,5-Ethyl-2,6-dimethyloctane,4-Ethyl-3,6-dimethylheptane,5-Ethyl-3,7-dimethylheptane,B,,,,,,,,,,,,
CHE102,Isopropyl alcohol (CH3)2CHOH reacts with hot concentrated H2SO4 to give Propane,Propane,2-propanol,Propene,Propyne,C,,,,,,,,,,,,,,,,
CHE102,Aldehydes have ___ boiling points than/as alcohols of comparable molecular weight.,higher,lower,about the same,exactly the same,B,,,,,,,,,,,,,,,,
CHE102,Acetone is the common name for,1-butanone,1-propanone,2-propanone,2-butanone,C,,,,,,,,,,,,,,,,
CHE102,Which material is most reactive toward nucleophilic addition?,Acetaldehyde,dimethyl ketone,diisopropyl ketone,di-tert-butyl ketone,A,,,,,,,,,,,,,,,,
CHE102,The oxidation of 1-propanol with chromic acid yields,an alcohol,an aldehyde,a ketone,an acid,D,,,,,,,,,,,,,,,,
CHE102,The oxidation of 2-propanol with chromic acid yields,an alcohol,an aldehyde,a ketone,an acid,C,,,,,,,,,,,,,,,,
CHE102,The oxidation of 1-propanol with PCC gives,an alcohol,an aldehyde,a ketone,an acid,B,,,,,,,,,,,,,,,,
CHE102,The acid-catalyzed hydration of cyclodecyne yields,Cyclodecanone,cyclodecadiene,cyclodecanediol,cyclodecanedial,A,,,,,,,,,,,,,,,,
CHE102,Reduction of acetic acid with Li(tri-tert-butoxy)AlH yields,an acid,an aldehyde,an alcohol,a ketone,B,,,,,,,,,,,,,,,,
CHE102,The reaction of acetyl chloride with excess Grignard reagent followed by acidification yields,a ketone,an ester,a secondary alcohol,a tertiary alcohol,D,,,,,,,,,,,,,,,,
CHE102,Lithium dimethylcuprate (Gilman reagent) reacts with acetyl chloride to give,a ketone,an ester,a secondary alcohol,a tertiary alcohol,A,,,,,,,,,,,,,,,,
CHE102,The cyanide ion -C=N reacts with a ketone to give,an acid,a cyanohydrin,an aldehyde,an amine,B,,,,,,,,,,,,,,,,
CHE102,The acid-catalyzed addition of water to formaldehyde gives,a ketal,a hemiacetal,an acetal,a hydrate,D,,,,,,,,,,,,,,,,
CHE102,The acid-catalyzed addition of 2 mol of alcohol to 1 mol of aldehyde yields,a ketal,a hemiacetal,an acetal,a hydrate,C,,,,,,,,,,,,,,,,
CHE102,Ammonia reacts with an aldehyde to give an,alcohol,amide,imine,amine,C,,,,,,,,,,,,,,,,
CHE102,The reaction of a Wittig reagent with ketones give,Alkenes,ketones,aldehydes,alkanes,A,,,,,,,,,,,,,,,,
CHE102,Silver ion, Ag+ reacts with aldehydes to form a red precipitate,a silver “mirror”,a blue solution,there is no reaction,B,,,,,,,,,,,,,,,,
CHE102,Dimethylamine reacts with a ketone to give an,amide,imide,amine,enamine,D,,,,,,,,,,,,,,,,
CHE102,Carbocations are,carbon atoms with a negative charge,carbon atoms with a positive charge,carbon atoms with no charge,any atom with a positive charge,B,,,,,,,,,,,,,,,,
CHE102,A ___ carbocation has the greatest stability.,methyl,primary,secondary,tertiary,D,,,,,,,,,,,,,,,,
CHE102,Carbocations are stabilized by adjacent groups that ___ the carbocation.,donate electrons to,withdraw electrons from,donate protons to,withdraw protons from,A,,,,,,,,,,,,,,,,
CHE102,What is responsible for the high boiling points of aldehydes and ketones?,Hydrogen bonding existing between the molecules,Intermolecular forces of attraction between molecules,Polar interaction between molecules,Dispersion forces between molecules,C,,,,,,,,,,,,,,,,
CHE102,The Markovnikov rule states that a hydrogen atom bonds to the carbon atom that already is bonded to ___ hydrogen atoms.,an equal number of,the greatest number of,the least number of,no,B,,,,,,,,,,,,,,,,
CHE102,Carbocations undergo rearrangement reactions,to give more stable carbocations,by hydride shifts,by methyl shifts,for all of the above reasons,D,,,,,,,,,,,,,,,,
CHE102,Alkenes undergo an acid-catalyzed addition of water to give,alkynes,alkanes,ethers,alcohols,D,,,,,,,,,,,,,,,,
CHE102,Borane reacts with alkenes,to give the anti-Markovnikov addition product,by a concerted mechanism,to give syn addition,all of the above,D,,,,,,,,,,,,,,,,
CHE102,Diols are synthesized by reacting an alkene with,water,borane,ozone,osmium tetroxide,D,,,,,,,,,,,,,,,,
CHE102,The rapid conversion between an enol and its keto form is called,resonance,cationic rearrangement,tautomerization,hydrogenation,C,,,,,,,,,,,,,,,,
CHE102,The solubility of some aldehydes and ketones in water is due to,Hydrogen bonding between the molecules of water and those of aldehydes or ketones,Polar interaction and hydrogen bonding between the molecules of water and those of aldehydes or ketones,The intermolecular forces between the molecules of water and those of aldehydes or ketones,Dispersion and Vander Waal forces between the molecules of water and those of aldehydes or ketones,B,,,,,,,,,,,,,,,,
CHE102,Aldehydes are said to be more reactive than ketones because,The carbonyl carbon in the former is more polar than that of the latter,The carbonyl carbon in the latter is more sterically hindered from nucleophilic attack than in the former,The carbonyl carbon in the former is a terminal one hence better contact with nucleophiles unlike in the latter where the carbonyl carbon is not easily available for attack,The tetrahedral structure of the former possesses higher potential energy than the latter,B,,,,,,,,,,,,,,,,
CHE102,Which of these has the most stable central carbon?,RCOR’,RCOH,RCH3,CH4,A,,,,,,,,,,,,,,,,
CHE102,The intermediate formed during the reaction of ozone with unsaturated compounds is called,Oxidizing agent,Ozonide,Trioxane,Peroxide,B,,,,,,,,,,,,,,,,
CHE102,Reaction of alkene with ozone in the presence of hydrogen peroxide will produce,Two acids,Ketone and acid,Two ketones,All of the above,D,,,,,,,,,,,,,,,,
CHE102,Ozonolysis is a very important reaction in chemistry because,It is not toxic,It can be used to characterize complex molecules,It takes place at room temperature,It is a means of reducing complex molecules,B,,,,,,,,,,,,,,,,
CHE102,Which of these is not a way of preparing aldehydes and ketones?,Hydration of alkynes,Reduction of acid chlorides,Acylation reaction,Amination reaction,D,,,,,,,,,,,,,,,,
CHE102,How many isomers will this compound have?,1,2,3,4,C,,,,,,,,,,,,,,,,
CHE102,Which of these has the highest boiling point?,Butane,Butanal,Butanol,Butanone,C,,,,,,,,,,,,,,,,
CHE102,What is the product you would get from the hydration of CH3C=CCH2CH3 using mercury salt?,CH3COCH2CH2CH3,CH3CH2COCH2CH3,CH3COCH2CH2CH3 and CH3CH2COCH2CH3,CH3CH2C(OH)CH2CH3,C,,,,,,,,,,,,,,,,
CHE102,Aromatic ketones are prepared by,Wittig reactions,Friedel-Crafts acylation,Clemmensen reaction,Mercuration reaction,B,,,,,,,,,,,,,,,,
CHE102,Cyanohydrins can be hydrolysed in the presence of acid to produce,Compounds with both hydroxyl and carboxylic groups,Beta-Amino alcohols,Aldehydes,Ketones,A,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of water with ketones?,Acetal,Hydrate,Hemiacetal,Geraniol,B,,,,,,,,,,,,,,,,
CHE102,What is the final product of the reaction of alcohol with aldehyde called?,Hemiacetal,Acetal,Hydrate,Ketal,C,,,,,,,,,,,,,,,,
CHE102,The name of this compound is,Hex-1-en-6-yne,Hex-1-en-1-yne,Hept-1-en-6-yne,Hept-6-en-1-yne,C,,,,,,,,,,,,,,,,
CHE102,The name of this compound is,6-chlorohept-2-en-4-ol,2-chlorohept-5-en-4-ol,2-chlorohept-6-en-4-ol,2-chloro-4-hydroxyhept-5-ene,B,,,,,,,,,,,,,,,,
CHE102,Which of the following is otherwise known as grain alcohol?,Propanol,Butanol,Ethanol,Methanol,C,,,,,,,,,,,,,,,,
CHE102,Alcohols have higher boiling points than do alkanes of similar molecular weight because,Oxygen is present in alcohols which is deficient in alkanes,Strong ionic bonding is present in alcohols while covalent bonding is present in alkanes,Interaction between oxygen of the hydroxyl group with other molecules of alcohols which is absent in alkanes,Alkanes are largely hydrocarbons which mostly are in gaseous states,C,,,,,,,,,,,,,,,,
CHE102,The carbon atom bonded to a hydroxyl group is called,carbol,carbocation,carbinol,carbene,C,,,,,,,,,,,,,,,,
CHE102,Glycols have ____ hydroxyl group(s).,one,two,three,four,B,,,,,,,,,,,,,,,,
CHE102,Which of the alcohols is otherwise known as wood spirit?,Ethanol,Propanol,Methanol,Butanol,C,,,,,,,,,,,,,,,,
CHE102,Which of these is not another name for 2-propanol?,Isopropanol,Isopropyl alcohol,Rubbing alcohol,Vinylpropanol,D,,,,,,,,,,,,,,,,
CHE102,An example of a polyhydric alcohol is,Glycerol,Glycol,Cellulose,Polymer,C,,,,,,,,,,,,,,,,
CHE102,The formation of ethylene glycol from ethylene is an example of,Oxidation,reduction,dehydration,hydrogenation,A,,,,,,,,,,,,,,,,
CHE102,Which of these is a secondary alcohol?,CH3CH2OH,CH3(CH3)CHOH,CH3(CH3)2COH,CH3CH2COH,B,,,,,,,,,,,,,,,,
CHE102,An example of a compound that contains a carbonyl group is,H2CO,CH3OH,CH2CH2,CH3OCH3,A,,,,,,,,,,,,,,,,
CHE102,Which of these is not true about alcohols?,The melting and boiling points of butanol is higher than ethanol,Ethanol is more soluble in water than octanol,Hexanol is more miscible with water than Methanol,The boiling point of methanol is higher than that of ethane,C,,,,,,,,,,,,,,,,
CHE102,LAH reacts with glyoxal to give,CH3CO2H,HOCH2CH2OH,H2CCH2,HOCH2CO2H,B,,,,,,,,,,,,,,,,
CHE102,Which of these will not mix with water in all proportions?,Ethanol,Methanol,t-butanol,Nonanol,D,,,,,,,,,,,,,,,,
CHE102,LAH reacts with H2CCHC(O)H to give,CH3CH2C(O)H,CH3CH2CH2OH,H2CCHCO2H,H2CCHCH2OH,D,,,,,,,,,,,,,,,,
CHE102,Which of these is a tertiary alcohol?,CH3CH2OH,CH3(CH3)CHOH,CH3(CH3)2COH,CH3CH2COH,C,,,,,,,,,,,,,,,,
CHE102,Alcohol can be prepared by all the following ways except,Addition of acid to alkene,Addition of bromine water to alkene,Addition of borane tetrahydrofuran to alkene followed by alkaline hydrogen peroxide,Addition of Grignard reagent to alkene,D,,,,,,,,,,,,,,,,
CHE102,Which of these compounds has no carbonyl group present in it?,Alkanals,Amides,Acid chlorides,Nitriles,D,,,,,,,,,,,,,,,,
CHE102,Reaction involving the use of lithium aluminium hydride (LAH) must always be in inert solvents because,LAH is inactive in any other solvents,The presence of reactive solvents will produce large amount of side reaction products,LAH will react with solvents having acidic hydrogen atoms,LAH is very reactive and catches fire easily,C,,,,,,,,,,,,,,,,
CHE102,Why will you prefer LAH to NaBH4 as reducing agent for carbonyl group?,LAH is cheaper than NaBH4,NaBH4 is too slow to reduce carbonyl group,NaBH4 is not as selective as LAH,LAH is more environment-friendly than NaBH4,B,,,,,,,,,,,,,,,,
CHE102,What are the products of the reaction of CH3CH2C(O)OCH3 with LAH followed by treatment with acid?,1-propanol and methanol,Propanal and methanol,Ethanol and ethanoic acid,2-propanol and methanol,A,,,,,,,,,,,,,,,,
CHE102,Which of these reagents will give a saturated alcohol with an unsaturated aldehyde?,NaBH4/H3O+,LAH/H3O+,H2/Raney Nickel,CH3MgBr,C,,,,,,,,,,,,,,,,
CHE102,What is the function of H3O+ in the reaction of RMgX with carbonyl compounds?,To produce magnesium salt of an alkoxide ion,To convert the alkoxide ion to alcohol,To neutralize the alkaline reaction medium,To reduce the carbonyl group to alcohol,B,,,,,,,,,,,,,,,,
CHE102,Which of these groups does not possess an acidic proton?,–C=CH,–OH,–O-CH3,–NH2,C,,,,,,,,,,,,,,,,
CHE102,Which of these reagents will oxidize primary alcohols directly to aldehydes?,Cr2O72-,MnO4-,PCC,HIO4,C,,,,,,,,,,,,,,,,
CHE102,Oxidation of secondary alcohols in either acidic or basic conditions will give,Aldehydes,Ketones,Ozonides,Carboxylic acids,B,,,,,,,,,,,,,,,,
CHE102,What is the product you would obtain if you oxidize tertiary alcohol in either dichromate or permanganate?,Alkanone only,No product,Alkanone and Alkanal,Alkanal only,B,,,,,,,,,,,,,,,,
CHE102,A terminal ketone is otherwise known as,Aldehyde,Alkanone,Alkanoic acid,Freon,A,,,,,,,,,,,,,,,,
CHE102,The carbonyl group is capable of undergoing the following reactions except,Oxidation,Reduction,Nucleophilic addition,Elimination,D,,,,,,,,,,,,,,,,
CHE102,The preservative used for biological specimens contains,Ethanol,Methanal,Formic acid,Trioxane,B,,,,,,,,,,,,,,,,
CHE102,To prepare formalin I would dissolve,73g formaldehyde in 17g water,37g formaldehyde in 63g water,37g formaldehyde in 100g water,63g formaldehyde in 37g water,B,,,,,,,,,,,,,,,,
CHE102,A pure source of methanal is,Dry formaldehyde,Trioxane,Dioxane,Acetone,B,,,,,,,,,,,,,,,,
CHE102,Acetone is used in organic laboratories for cleaning glassware because it is,Very cheap,Highly volatile and polar,Colourless and non-viscous,Colourless and soapy,B,,,,,,,,,,,,,,,,
CHE102,Which of these could wood varnishes contain?,Propanol,2-butanone,Benzene,Ethanol,B,,,,,,,,,,,,,,,,
CHE102,CH3CHO reacts first with ethyl lithium (CH3CH2Li) and then with dilute acid to give,ethane,butan-2-ol,butane,no reaction,B,,,,,,,,,,,,,,,,
CHE102,Lithium reacts with n-butyl chloride to give,n-butane,n-butyllithium,chlorine,hydrogen,B,,,,,,,,,,,,,,,,
CHE102,Formaldehyde (HCHO) reacts first with CH3MgCl and then with dilute acid to give a,primary alcohol,secondary alcohol,tertiary alcohol,quaternary alcohol,A,,,,,,,,,,,,,,,,
CHE102,The oxidation of CH3CH2OH with acidic dichromate (Cr2O72-) gives,a ketone,ethyl alcohol,an aldehyde,an acid,D,,,,,,,,,,,,,,,,
CHE102,CH3CH2OH reacts with pyridinium chlorochromate (PCC) to give,a ketone,an alcohol,an aldehyde,an acid,C,,,,,,,,,,,,,,,,
CHE102,PBr3 reacts with ethanol to give,tribromoethane,bromoethanol,bromoethane,no reaction,C,,,,,,,,,,,,,,,,
CHE102,Hell-Volard-Zelinsky reaction is,regioselective,regiospecific,stereoselective,stereospecific,A,,,,,,,,,,,,,,,,
CHE102,Hell-Volard-Zelinsky reaction substitutes only,a-carbon atom,ß-carbon atom,a-hydrogen,ß-hydrogen,C,,,,,,,,,,,,,,,,
CHE102,In Hell-Volard-Zelinsky a catalytic amount of ___ is needed,sodium,potassium,red phosphorus,bromonium ion,C,,,,,,,,,,,,,,,,
CHE102,Which of these will reduce carboxylic acid to alcohol?,LiAlH4,NaBH4,H2/Pd,H2/Ni,A,,,,,,,,,,,,,,,,
CHE102,ClCH2COOH is more acidic than CH3COOH by reason of,resonance effect,conjugative effect,cummulative effect,inductive effect,D,,,,,,,,,,,,,,,,
CHE102,When the hydrogen of the –COOH is replaced by an alkyl group (R) it becomes,an amide,an ester,a ketone,an alkane,B,,,,,,,,,,,,,,,,
CHE102,The end result of the reduction of carboxylic acid by borane (B2H4) is,an aldehyde,a ketone,an alcohol,an alkane,C,,,,,,,,,,,,,,,,
CHE102,Benzene can be differentiated from an alkene by the reaction,it burns with sooty luminous flame,it boils at 78oC,it does not decolourise bromine water,it melts at 5.5oC,C,,,,,,,,,,,,,,,,
CHE102,Which of these groups will be good meta directing group,0,0,–NO2,–Cl,C,,,,,,,,,,,,,,,,
CHE102,Benzene is insoluble in,chloroform,ethanol,water,acetone,C,,,,,,,,,,,,,,,,
CHE102,Benzene can be produced from,ethylene,acetylene,methylene,propylene,B,,,,,,,,,,,,,,,,
CHE102,Benzene is resistant to oxidation and reduction because double bonds are,three,cummulated,additive,conjugated,D,,,,,,,,,,,,,,,,
CHE102,The name of this compound: CH2COOH,acetic benzene acid,benzyl acid,benzoic acid,2-phenylacetic acid,D,,,,,,,,,,,,,,,,
CHE102,Benzene ring undergoes,substitution reactions,oxidation reaction,addition reaction,reduction reaction,A,,,,,,,,,,,,,,,,
CHE102,Benzene is most available from this,petroleum,natural products,wood,sawdust,A,,,,,,,,,,,,,,,,
CHE102,Benzene is oxidized readily with,ozone,oxygen,chlorine,potassium permanganate,A,,,,,,,,,,,,,,,,
CHE102,Acetophenone is easily prepared by,Friedel-Crafts benzoylation,Friedel-Crafts alkylation,Friedel-Crafts acylation,phenylation of acetone,C,,,,,,,,,,,,,,,,
CHE102,The periodic table is a chart that arranges element according to,Atomic mass,Atomic number,Molecular mass,None of the above,B,,,,,,,,,,,,,,,,
CHE102,The principal use of diamond is in,Lighting,Jewelry,Lead pencil,Saw,B,,,,,,,,,,,,,,,,
CHE102,The ability of metals to conduct electricity is due to,Surface tension,Smooth surface,Presence of free mobile electrons,High tension,C,,,,,,,,,,,,,,,,
CHE102,The reason why graphite is used as electrodes is due to,Absence of free mobile electrons,Presence of free mobile p electrons,Rigid structure,Flexible structure,B,,,,,,,,,,,,,,,,
CHE102,Which of these elements is not alkaline-earth metal?,Ba,Sr,Mg,Pd,D,,,,,,,,,,,,,,,,
CHE102,Which of these elements is not an alkali metal?,Li,Na,Ba,Cs,C,,,,,,,,,,,,,,,,
CHE102,What is an alloy?,A miscible mixture of two or three metals at their molten states,Two nonmetals,Nonmetals,Gases,A,,,,,,,,,,,,,,,,
CHE102,The Morseley’s equation is,E=mc2,B=a(Z–b),PV=mc2,PV/T=constant,B,,,,,,,,,,,,,,,,
CHE102,Metals on ionization become charged with smaller,Sizes,Sites,Sources,Momentum,A,,,,,,,,,,,,,,,,
CHE102,Diamond has which hybridization?,Sp,Sp2,Sp3,Spd,C,,,,,,,,,,,,,,,,
CHE102,Is graphite convertible to diamond?,Yes,No,Uncertain,None of the above,A,,,,,,,,,,,,,,,,
CHE102,Electrolysis of water produces,Hydrogen and oxygen,Nitrogen and coke,Cola nut,Bitter cola,A,,,,,,,,,,,,,,,,
CHE102,What is a crystal?,A solid with lattice points occupied by ions  atoms or molecule,Glass,Cold room,Liquid,A,,,,,,,,,,,,,,,,
CHE102,Example of amorphous solid is,Gold,Glass,Silver,Mites,B,,,,,,,,,,,,,,,,
CHE102,The characteristics of alkali metal compounds is that they are,White and form colourless solution in water,Insoluble in water,Black in colour,None of the above,A,,,,,,,,,,,,,,,,
CHE102,Which of these materials is not a covalent crystal?,Copper,Graphite,Diamond,Quartz,A,,,,,,,,,,,,,,,,
CHE102,Period 1 contains,H and He,Uranium and other actinides,Lanthanides,Halogens,A,,,,,,,,,,,,,,,,
CHE102,An isotope has,Element with two or more different atomic masses,Element with different atomic number,Element without mass,Element with high electron affinity,A,,,,,,,,,,,,,,,,
CHE102,The lattice points of ionic crystals are occupied by,Molecules,Tubers,Charged ions,Chronicles,C,,,,,,,,,,,,,,,,
CHE102,Which of this is the property of diamond?,Hardness,Softness,Brittleness,Ductility,A,,,,,,,,,,,,,,,,
CHE102,Metallic crystals contain,Molecules,Charged ions of the metal in a sea or cloud of electrons,Butter,Yam,B,,,,,,,,,,,,,,,,
CHE102,Electrovalent compounds are held together by,Molecular forces,Electrovalent forces,Covalent forces,Military forces,B,,,,,,,,,,,,,,,,
CHE102,The major use of graphite is,Electrodes,Portal,Primer,Emerald,A,,,,,,,,,,,,,,,,
CHE102,Diamond is used primarily as,Jewelry,Pavement,Food,Farm,A,,,,,,,,,,,,,,,,
CHE102,Which of these elements will liberate hydrogen from cold water?,Phosphorus,Sulphur,Potassium,Purine,C,,,,,,,,,,,,,,,,
CHE102,Which of the following alkanes has the lowest boiling point?,(CH3)2CHCH(CH3)2,(CH3CH2)2CHCH3,(CH3)3CCH2CH3,CH3(CH2)4CH3,C,,,,,,,,,,,,,,,,
CHE102,Which of the following alkanes has the highest boiling point?,(CH3)2CHCH(CH3)2,(CH3CH2)2CHCH3,(CH3)3CCH2CH3,CH3(CH2)4CH3,D,,,,,,,,,,,,,,,,
CHE102,Which of the following compounds has the highest boiling point?,(CH3)3CBr,CH3CH2CH2CH2Br,(CH3)2C(CH3)2,None of the above,B,,,,,,,,,,,,,,,,
CHE102,Which of the following compounds has the lowest boiling point?,(CH3)3CBr,CH3CH2CH2CH2Br,(CH3)2C(CH3)2,None of the above,C,,,,,,,,,,,,,,,,
CHE102,The name of this compound is,5-cyclohexylcarboxylic acid,3-cyclohexylcarboxylic acid,2-Ethyl-3-cyclohexylbutanoic acid,2-Methyl-4-cyclohexylbutanoic acid,D,,,,,,,,,,,,,,,,
